iter. count	ObjectiveValue	Parameters	TimeSoFar
2	-0.789773	1	57
6	-0.806462	1	67
46	-0.815911	1	250
47	-0.82719	1	253
57	-0.835684	1	295
61	-0.838572	1	306
77	-0.843801	1	355
95	-0.891176	1	411
144	-0.895996	1	562
152	-0.912732	1	592
153	-0.914616	1	596
167	-0.917675	1	642
185	-0.922324	1	716
201	-0.95283	1	778
253	-0.985423	1	980
293	-0.989335	1	1162
361	-0.991676	1	1468
386	-1.0004	1	1558
400	-1.00044	1	1608
441	-1.00758	1	1744
470	-1.0096	1	1836
488	-1.01469	1	1899
518	-1.01551	1	1978
519	-1.019	1	1982
613	-1.01961	1	2292
629	-1.02053	1	2341
683	-1.02279	1	2507
705	-1.02625	1	2574
765	-1.02972	1	2746
873	-1.03036	1	2919
961	-1.03236	1	3054
976	-1.03307	1	3077
1107	-1.03448	1	3267
1133	-1.03452	1	3304
1134	-1.0368	1	3305
1174	-1.0378	1	3364
1198	-1.03901	1	3400
1315	-1.04031	1	3569
1381	-1.04085	1	3665
1391	-1.04248	1	3679
1468	-1.04259	1	3792
1481	-1.04524	1	3812
1511	-1.04681	1	3857
1534	-1.0475	1	3891
1567	-1.04797	1	3942
2075	-1.04819	1	4746
2097	-1.04957	1	4807
2271	-1.05006	1	5117
2453	-1.05127	1	5464
2533	-1.05206	1	5670
2728	-1.05289	1	6291
2751	-1.05368	1	6357
2912	-1.05401	1	6842
2936	-1.05402	1	6904
2998	-1.05435	1	7048
3038	-1.05501	1	7153
3056	-1.05587	1	7206
3085	-1.05685	1	7278
3212	-1.05736	1	7653
3252	-1.05747	1	7774
3455	-1.05777	1	8342
3510	-1.05836	1	8504
3596	-1.05859	1	8679
3611	-1.0595	1	8708
3703	-1.05977	1	8900
3946	-1.06063	1	9372
4004	-1.06086	1	9482
4121	-1.06096	1	9710
4155	-1.06137	1	9772
4188	-1.06188	1	9836
4189	-1.06196	1	9839
4198	-1.06271	1	9858
4304	-1.06297	1	10075
4318	-1.06306	1	10102
4432	-1.06309	1	10333
4443	-1.06388	1	10354
4471	-1.06417	1	10412
4571	-1.06523	1	10618
4613	-1.06545	1	10705
4848	-1.0663	1	11133
4940	-1.06631	1	11280
4944	-1.06644	1	11287
4971	-1.06647	1	11330
5006	-1.06704	1	11389
5177	-1.06774	1	11672
5190	-1.0683	1	11693
5222	-1.06872	1	11743
5239	-1.06892	1	11770
5280	-1.06934	1	11837
5380	-1.06936	1	12003
5424	-1.0694	1	12076
5755	-1.06961	1	12622
5796	-1.06994	1	12689
5826	-1.07146	1	12737
6148	-1.07152	1	13281
6268	-1.07205	1	13479
6324	-1.07262	1	13572
6343	-1.07304	1	13604
6593	-1.07309	1	14006
6624	-1.0734	1	14053
6651	-1.07358	1	14096
6735	-1.07416	1	14229
6784	-1.07421	1	14307
6797	-1.07483	1	14329
6807	-1.07489	1	14345
7231	-1.07491	1	15000
7243	-1.07501	1	15018
7407	-1.07507	1	15273
7424	-1.0751	1	15298
7492	-1.07552	1	15404
7624	-1.07581	1	15611
7711	-1.07609	1	15749
8232	-1.0763	1	16575
8387	-1.0765	1	16826
8618	-1.07652	1	17192
8663	-1.07653	1	17263
8682	-1.0767	1	17295
8780	-1.0769	1	17449
8855	-1.07708	1	17569
8986	-1.07711	1	17778
