iter. count	ObjectiveValue	Parameters	TimeSoFar
2	-0.789773	1	57
6	-0.806462	1	67
46	-0.815911	1	250
47	-0.82719	1	253
50	-0.789759	1	261
57	-0.835684	1	295
61	-0.838572	1	306
77	-0.843801	1	355
95	-0.891176	1	411
100	-0.789779	1	423
144	-0.895996	1	562
150	-0.86466	1	582
152	-0.912732	1	592
153	-0.914616	1	596
167	-0.917675	1	642
185	-0.922324	1	716
200	-0.864745	1	772
201	-0.95283	1	778
250	-0.927888	1	967
253	-0.985423	1	980
293	-0.989335	1	1162
300	-0.945966	1	1201
350	-0.836171	1	1419
361	-0.991676	1	1468
386	-1.0004	1	1558
400	-1.00044	1	1608
441	-1.00758	1	1744
450	-0.996026	1	1771
470	-1.0096	1	1836
488	-1.01469	1	1899
500	-1.01267	1	1928
518	-1.01551	1	1978
519	-1.019	1	1982
550	-0.997325	1	2089
600	-0.997841	1	2249
613	-1.01961	1	2292
629	-1.02053	1	2341
650	-0.994538	1	2396
683	-1.02279	1	2507
700	-0.996019	1	2561
705	-1.02625	1	2574
750	-1.01522	1	2705
765	-1.02972	1	2746
800	-1.01122	1	2807
850	-1.01399	1	2884
873	-1.03036	1	2919
900	-1.02495	1	2958
950	-1.02219	1	3037
961	-1.03236	1	3054
976	-1.03307	1	3077
1000	-0.999395	1	3113
1050	-1.0258	1	3185
1100	-1.02696	1	3257
1107	-1.03448	1	3267
1133	-1.03452	1	3304
1134	-1.0368	1	3305
1150	-1.02839	1	3330
1174	-1.0378	1	3364
1198	-1.03901	1	3400
1200	-1.02742	1	3403
1250	-1.03434	1	3475
1300	-1.03422	1	3547
1315	-1.04031	1	3569
1350	-1.03032	1	3619
1381	-1.04085	1	3665
1391	-1.04248	1	3679
1400	-1.02215	1	3692
1450	-1.00552	1	3766
1468	-1.04259	1	3792
1481	-1.04524	1	3812
1500	-1.03855	1	3841
1511	-1.04681	1	3857
1534	-1.0475	1	3891
1550	-1.03547	1	3916
1567	-1.04797	1	3942
1600	-1.03448	1	3992
1650	-1.02992	1	4068
1700	-1.03592	1	4142
1750	-1.0152	1	4214
1800	-1.03509	1	4286
1850	-1.03806	1	4378
1900	-1.01294	1	4457
1950	-1.00374	1	4534
2000	-1.03444	1	4614
2050	-1.04243	1	4699
2075	-1.04819	1	4746
2097	-1.04957	1	4807
2100	-1.04111	1	4813
2150	-1.04296	1	4905
2200	-1.04087	1	4987
2250	-1.04349	1	5075
2271	-1.05006	1	5117
2300	-1.03841	1	5173
2350	-1.00922	1	5261
