iter. count	ObjectiveValue	Parameters	TimeSoFar
2	-0.803657	1	103
10	-0.80513	1	482
26	-0.808878	1	1195
38	-0.810845	1	1688
50	-0.795493	1	2177
51	-0.812132	1	2214
52	-0.817452	1	2251
54	-0.819477	1	2333
73	-0.822307	1	3090
77	-0.825565	1	3247
78	-0.830038	1	3294
100	-0.815566	1	4226
101	-0.830991	1	4261
104	-0.834736	1	4397
128	-0.83859	1	5353
131	-0.84054	1	5494
143	-0.844889	1	5979
150	-0.82181	1	6266
152	-0.847336	1	6339
164	-0.84862	1	6818
166	-0.850576	1	6913
176	-0.853654	1	7338
185	-0.85556	1	7701
186	-0.860752	1	7746
191	-0.865871	1	7983
200	-0.854376	1	8342
203	-0.865901	1	8456
206	-0.874789	1	8572
237	-0.875702	1	9922
241	-0.887626	1	10107
250	-0.867954	1	10500
257	-0.887884	1	10787
266	-0.891647	1	11149
279	-0.894903	1	11689
287	-0.896679	1	12025
300	-0.878787	1	12613
302	-0.898095	1	12736
303	-0.89957	1	12771
307	-0.900862	1	12934
326	-0.90174	1	13798
331	-0.913298	1	13993
350	-0.89265	1	14800
377	-0.92064	1	15951
400	-0.910048	1	16877
407	-0.921361	1	17168
411	-0.922112	1	17330
424	-0.922329	1	17860
432	-0.923399	1	18201
440	-0.928691	1	18571
445	-0.932099	1	18781
450	-0.919675	1	19007
453	-0.936156	1	19156
479	-0.936537	1	20445
480	-0.941817	1	20498
500	-0.924386	1	21523
513	-0.943057	1	22182
523	-0.948243	1	22587
528	-0.952785	1	22821
541	-0.954385	1	23363
550	-0.945831	1	23742
562	-0.957551	1	24240
567	-0.957813	1	24453
578	-0.964695	1	24908
600	-0.947864	1	25802
607	-0.969433	1	26160
640	-0.969494	1	27684
645	-0.97079	1	27868
650	-0.961145	1	28099
658	-0.971015	1	28425
661	-0.972725	1	28535
678	-0.974394	1	29268
693	-0.975329	1	29902
696	-0.975558	1	30024
700	-0.971627	1	30190
706	-0.97855	1	30447
715	-0.98544	1	30811
750	-0.977534	1	32239
753	-0.988804	1	32359
765	-0.990769	1	32852
769	-0.993162	1	33001
776	-0.995191	1	33295
800	-0.987639	1	34252
805	-0.998067	1	34470
820	-1.0021	1	35072
850	-0.985625	1	36346
868	-1.00518	1	37106
877	-1.00677	1	37499
900	-1.00013	1	38434
907	-1.01062	1	38775
915	-1.01067	1	39097
932	-1.01354	1	39790
950	-1.00601	1	40545
960	-1.01418	1	40962
972	-1.017	1	41458
982	-1.02149	1	41901
1000	-1.00893	1	42643
1017	-1.02248	1	43345
1028	-1.02666	1	43824
1050	-1.01302	1	44746
1075	-1.02712	1	45792
1077	-1.03109	1	45884
1100	-1.02345	1	46866
1104	-1.03311	1	47028
1121	-1.03364	1	47752
1138	-1.03958	1	48482
1150	-1.02832	1	48998
1157	-1.04031	1	49336
1179	-1.043	1	50282
1191	-1.04307	1	50810
1200	-1.03434	1	51193
1201	-1.04468	1	51288
1203	-1.04533	1	51371
1217	-1.04703	1	51987
1225	-1.04783	1	52321
1233	-1.04931	1	52699
1242	-1.04979	1	53076
1250	-1.04395	1	53442
1253	-1.05544	1	53590
1280	-1.05561	1	54782
1284	-1.06122	1	54956
1300	-1.05543	1	55643
1323	-1.06304	1	56669
1328	-1.06601	1	56928
1339	-1.06606	1	57447
1340	-1.06625	1	57489
1350	-1.05832	1	57922
1352	-1.06989	1	58021
1400	-1.06389	1	60204
1409	-1.07143	1	60630
1432	-1.07148	1	61675
1446	-1.07403	1	62314
1450	-1.07038	1	62518
1461	-1.07583	1	63021
1475	-1.08143	1	63682
1500	-1.06675	1	64854
1550	-1.08659	1	67741
1592	-1.08908	1	70243
1600	-1.07904	1	70716
1601	-1.09145	1	70797
1602	-1.09538	1	70859
1638	-1.09626	1	72981
1650	-1.09363	1	73690
1653	-1.09917	1	73887
1671	-1.10436	1	74968
1684	-1.10663	1	75783
1696	-1.10669	1	76490
1700	-1.09793	1	76734
1734	-1.1085	1	79033
1750	-1.10787	1	80100
1755	-1.10903	1	80449
1767	-1.11053	1	81234
1781	-1.11174	1	82175
1800	-1.10484	1	83436
1803	-1.11301	1	83718
1804	-1.1157	1	83788
1831	-1.11605	1	85584
1840	-1.12599	1	86187
1850	-1.10348	1	86849
1862	-1.12812	1	87672
1885	-1.12854	1	89231
1894	-1.12901	1	89837
1900	-1.12907	1	90221
1912	-1.12922	1	90947
1915	-1.13303	1	91124
